ID,Detail,Cause,Result
20031114-0,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20040529-0,Runway mishap;Tailstrike;Windshear/downdraft,LANDING/TAKEOFF;WEATHER,Runway mishap
20060718-0,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20070718-2,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20080126-1,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20080622-0,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20081020-0,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20081027-0,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20081128-0,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20090421-0,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20090901-0,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20091028-0,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20100124-0,Runway excursion;Tailstrike,LANDING/TAKEOFF,Runway excursion
20100206-8,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20100303-0,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20110103-1,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20110322-0,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20110912-0,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20120205-0,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20120331-0,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20120414-0,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20120910-0,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20130307-1,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20130416-0,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20130416-1,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20130526-1,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20131203-0,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20140217-2,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20140620-0,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20140704-0,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20140729-1,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20140915-0,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20150719-0,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20150815-0,Runway mishap;Tailstrike;Windshear/downdraft,LANDING/TAKEOFF;WEATHER,Runway mishap
20160305-1,Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
